,link,titel,intro,datum,verantwoordelijk,pdfs
20,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/05/28/besluit-op-wob-verzoek-over-logboeken-besprekingen-wef,Besluit op Wob-verzoek over logboeken besprekingen WEF,Besluit op een verzoek om informatie over logboeken van vergaderingen/besprekingen met het World Economic Forum (WEF). Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/05/28,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/05/28/besluit-op-wob-verzoek-over-logboeken-besprekingen-wef/Besluit+op+Wob-verzoek+over+logboeken+besprekingen+WEF.pdf']
21,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/30/besluit-op-wob-verzoek-over-wk-voetbal-in-qatar,Besluit op Wob-verzoek over WK-voetbal in Qatar,Besluit op een verzoek om informatie over het wereldkampioenschap voetbal in Qatar in 2022. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/03/30,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/03/30/besluit-op-wob-verzoek-over-wk-voetbal-in-qatar/besluit+op+wob-verzoek+over+wk+voetbal+qatar.pdf']
22,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/30/besluit-op-wob-verzoek-over-maatregelen-stikstof--en-pfas-problematiek,Besluit op Wob-verzoek over maatregelen stikstof- en PFAS-problematiek,Besluit op een verzoek om informatie over maatregelen stikstof- en PFAS-problematiek. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/03/30,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/03/30/besluit-op-wob-verzoek-over-maatregelen-stikstof--en-pfas-problematiek/besluit+op+wob-verzoek+over+maatregelen+stikstof+en+pfas+problematiek.pdf']
23,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/24/besluit-op-wob-verzoek-over-verbreding-van-de-a-27,Besluit op Wob-verzoek over verbreding van de A-27,De minister van Algemene Zaken heeft op 24 maart 2021 een besluit genomen op basis van de Wet Openbaarheid van Bestuur (WOB) inzake verbreding van de A-27.,2021/03/24,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/03/24/besluit-op-wob-verzoek-over-verbreding-van-de-a-27/Wob-besluit+A27.pdf']
24,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/17/besluit-op-wob-verzoek-over-documenten-kinderopvangtoeslag,Besluit op Wob-verzoek over documenten kinderopvangtoeslagaffaire,Besluit op een verzoek om informatie over documenten van de kinderopvangtoeslagaffaire. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/03/17,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/03/17/besluit-op-wob-verzoek-over-documenten-kinderopvangtoeslag/besluit+op+wob-verzoek+over+kinderopvangtoeslag.pdf']
25,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/12/besluit-op-wob-verzoek-over-bespreking-van-wob-en-artikel-68-grondwet-in-secretarissen-generaal-overleg,Besluit op Wob-verzoek over bespreking van Wob en artikel 68 Grondwet in Secretarissen-Generaal Overleg,Besluit op een verzoek om informatie bespreking van de Wob en artikel 68 van de Grondwet in het Secretarissen-Generaal Overleg (SGO). Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/03/12,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/03/12/besluit-op-wob-verzoek-over-bespreking-van-wob-en-artikel-68-grondwet-in-secretarissen-generaal-overleg/besluit+op+wob-verzoek+over+secretarissen+generaal+overleg+bespreking+wob+en+artikel+68+grondwet.pdf']
26,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/03/besluit-wob-verzoek-notulen-ministerraad-kinderopvangtoeslagaffaire,Besluit Wob-verzoek notulen ministerraad kinderopvangtoeslagaffaire,Besluit op een verzoek om informatie uit de notulen van de ministerraad over de kinderopvangtoeslagaffaire. Het gaat om een verzoek op basis van de Wet openbaarheid van bestuur (Wob).,2021/03/03,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/03/03/besluit-wob-verzoek-notulen-ministerraad-kinderopvangtoeslagaffaire/Wob-besluit+notulen+ministeraad+kinderopvangtoeslagaffaire.pdf']
27,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/03/02/besluit-op-wob-verzoek-over-notulen-ministerraad-over-kinderopvangtoeslag,Besluit op Wob-verzoek over notulen ministerraad over kinderopvangtoeslag,Besluit op een verzoek om informatie over vier vergaderingen van de ministerraad over de toeslagenaffaire. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).,2021/03/02,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/03/02/besluit-op-wob-verzoek-over-notulen-ministerraad-over-kinderopvangtoeslag/Besluit+op+Wob-verzoek+over+notulen+ministerraad+over+kinderopvangtoeslag.pdf']
28,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/23/besluit-op-wob-verzoek-over-tickets-vakantie-griekenland,Besluit op Wob verzoek over tickets vakantie Griekenland,"Verzoek om informatie over documenten waarop de berichtgeving gebaseerd is dat de prinsessen Amalia en Alexia niet tegelijk met hun ouders, het koninklijk echtpaar, konden meevliegen vanuit Griekenland naar Nederland in oktober 2020. Het verzoek is gedaan op basis van de Wet openbaarheid van bestuur (Wob).",2021/02/23,Ministerie van Algemene Zaken,['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/02/23/besluit-op-wob-verzoek-over-tickets-vakantie-griekenland/Besluit+op+Wob+verzoek+over+tickets+vakantie+Griekenland.pdf']
29,https://www.rijksoverheid.nl/documenten/wob-verzoeken/2021/02/10/besluit-wob-verzoek-opdrachten-campagnebureau-bkb-az,Besluit Wob-verzoek opdrachten campagnebureau BKB (AZ),Besluit op een verzoek om informatie over campagnebureau BKB. Het gaat om een verzoek op basis van de Wet openbaarheid van bestuur (Wob).,2021/02/10,Ministerie van Algemene Zaken,"['https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/02/10/besluit-wob-verzoek-opdrachten-campagnebureau-bkb-az/Wob-besluit+BKB.pdf', 'https://www.rijksoverheid.nl/binaries/rijksoverheid/documenten/wob-verzoeken/2021/02/10/besluit-wob-verzoek-opdrachten-campagnebureau-bkb-az/bkb.pdf']"
